,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
0,"1,799",HUAWEI,15.6-Inch,Core i5,-1155G,8GB,256GB SSD,Windows 11
1,"2,399",HUAWEI,,Core i5,-12450H,16GB,512GB SSD,Windows 11
2,"2,599",HUAWEI,14-Inch,Core i5,-1240P,16GB,512GB SSD,Windows 11
3,"3,099",HUAWEI,,Core i7,-13700H,16GB,1TB SSD,Windows 11
4,"2,599",HUAWEI,,Core i5,-13420H,16GB,1TB SSD,Windows 11
5,"3,699",HUAWEI,,Core i9,-13900H,16GB,1TB SSD,Windows 11
6,"3,999",HUAWEI,12.6-Inch,Core i7,-1260P,16GB,512GB SSD,Windows 11
8,"1,799",HUAWEI,15.6-Inch,Core i5,-1155G,8GB,256GB SSD,Windows 11
9,"2,999",Apple,13-Inch,,,8GB,256GB SSD,
10,"1,195",ASUS,15.6-Inch,Core i3,,8GB,512GB SSD,
11,909,ASUS,15.6-Inch,,,4GB,128GB SSD,
12,"2,399",MSI,15.6-Inch,Core i5,-12450H,8GB,512GB SSD,Windows 11
13,795,Lenovo,,,,4GB,256GB SSD,
14,"1,587",HP,15.6-Inch,,-5625U,16GB,512GB SSD,
15,"2,699",HP,,Core i7,-1355U,16GB,512GB SSD,Windows 11
16,"2,099",HUAWEI,,Core i5,-12450H,8GB,512GB SSD,Windows 11
17,"1,449",Acer,15.6-Inch,Core i5,-1135G,8GB,256GB SSD,
18,"2,399",HUAWEI,,Core i5,-12450H,16GB,512GB SSD,Windows 11
19,"1,453",HP,,,-5625U,8GB,256GB SSD,
20,"2,599",HUAWEI,14-Inch,Core i5,-1240P,16GB,512GB SSD,Windows 11
21,"1,899",HUAWEI,14-Inch,Core i5,-12450H,8GB,512GB SSD,Windows 11
22,"1,175",HP,,Core i3,-1315U,4GB,256GB SSD,
23,"1,428",Acer,15.6-Inch,Core i5,-1135G,8GB,512GB SSD,
24,"3,099",HUAWEI,,Core i7,-13700H,16GB,1TB SSD,Windows 11
25,"4,299",Apple,13-Inch,,,256GB,,
26,"3,199",Acer,,Core i7,-12700H,16GB,512GB SSD,
27,"2,599",HUAWEI,,Core i5,-13420H,16GB,1TB SSD,Windows 11
28,"1,249",Microsoft,10.5-Inch,,,4GB,,Windows 10
29,"3,299",Lenovo,8.8-Inch,,,16GB,1TB SSD,Windows 11
30,"2,859",HP,,Core i5,-1335U,8GB,512GB SSD,Windows 11
31,"3,289",MSI,,Core i7,-12650H,16GB,512GB SSD,Windows 11
32,"1,599",MSI,,Intel Core i5,,8GB,512GB SSD,Windows 11
33,"2,099",Acer,14-Inch,Core i3,,8GB,512GB SSD,Windows 11
34,"3,299",ASUS,16-Inch,Core i9,-13900H,16GB,512GB SSD,Windows 11
35,"1,143",Lenovo,,Core i3,-1215U,4GB,512GB SSD,
36,"1,849",ASUS,15.6-Inch,Core i5,-1335U,8GB,512GB SSD,
37,"2,449",DELL,15.6 Inch,Core i7,-1255U,8GB,512GB SSD,
38,"2,599",HP,,Core i5,,16GB,512GB SSD,Windows 11
39,"2,799",HUAWEI,14 Inch,Intel Core i7,-1360P,16GB,1TB SSD,Windows 11
40,"1,849",DELL,,Core i5,-1235U,8GB,512GB SSD,
41,"1,999",Acer,14-Inch,,-5700U,16GB,512GB SSD,Windows 11
42,"2,149",ASUS,15.6-Inch,,,8GB,256GB SSD,Windows 11
43,"3,149",MSI,15.6-Inch,Core i7,-13620H,16GB,1TB SSD,Windows 11
44,"2,049",ASUS,15.6-Inch,Core i7,-1255U,8GB,512GB SSD,Windows 11
45,"1,349",DELL,,Intel Core i3,-1215U,8GB,512GB SSD,
46,"2,626",HP,,Intel Core i7,-1355U,16GB,512GB SSD,
47,"3,699",HUAWEI,,Core i9,-13900H,16GB,1TB SSD,Windows 11
48,"5,479",Apple,13-Inch,,,512GB,512GB SSD,
49,"3,949",ASUS,,Intel Core i7,-12700H,16GB,512GB SSD,Windows 11
50,"3,799",HP,,Core i7,-13700H,16GB,1TB SSD,Windows 11
51,"2,199",HP,,Core i3,-1315U,8GB,256GB SSD,Windows 11
52,"5,499",ASUS,17.3-Inch,,-6800H,16GB,1TB SSD,Windows 11
