,price,Category,Inch,Core,Processor,Ram,Memory,Opysys
0,1799.0,HUAWEI,15.6,Core i5,-1155G,8GB,256GB,Windows11
1,2399.0,HUAWEI,,Core i5,-12450H,16GB,512GB,Windows11
2,2599.0,HUAWEI,14,Core i5,-1240P,16GB,512GB,Windows11
3,3099.0,HUAWEI,,Core i7,-13700H,16GB,1TB,Windows11
4,2599.0,HUAWEI,,Core i5,-13420H,16GB,1TB,Windows11
5,3699.0,HUAWEI,,Core i9,-13900H,16GB,1TB,Windows11
6,3999.0,HUAWEI,12.6,Core i7,-1260P,16GB,512GB,Windows11
7,1799.0,HUAWEI,15.6,Core i5,-1155G,8GB,256GB,Windows11
8,2999.0,Apple,13,,,8GB,256GB,Mac ops
9,1195.0,ASUS,15.6,Core i3,,8GB,512GB,
10,909.0,ASUS,15.6,,,4GB,128GB,
11,2399.0,MSI,15.6,Core i5,-12450H,8GB,512GB,Windows11
12,795.0,Lenovo,,,,4GB,256GB,
13,1587.0,HP,15.6,,-5625U,16GB,512GB,
14,2699.0,HP,,Core i7,-1355U,16GB,512GB,Windows11
15,2099.0,HUAWEI,,Core i5,-12450H,8GB,512GB,Windows11
16,1449.0,Acer,15.6,Core i5,-1135G,8GB,256GB,
17,2399.0,HUAWEI,,Core i5,-12450H,16GB,512GB,Windows11
18,1453.0,HP,,,-5625U,8GB,256GB,
19,2599.0,HUAWEI,14,Core i5,-1240P,16GB,512GB,Windows11
20,1899.0,HUAWEI,14,Core i5,-12450H,8GB,512GB,Windows11
21,1175.0,HP,,Core i3,-1315U,4GB,256GB,
22,1428.0,Acer,15.6,Core i5,-1135G,8GB,512GB,
23,3099.0,HUAWEI,,Core i7,-13700H,16GB,1TB,Windows11
24,4299.0,Apple,13,,,256GB,,Mac ops
25,3199.0,Acer,,Core i7,-12700H,16GB,512GB,
26,2599.0,HUAWEI,,Core i5,-13420H,16GB,1TB,Windows11
27,1249.0,Microsoft,10.5,,,4GB,,Windows 10
28,3299.0,Lenovo,8.8,,,16GB,1TB,Windows11
29,2859.0,HP,,Core i5,-1335U,8GB,512GB,Windows11
30,3289.0,MSI,,Core i7,-12650H,16GB,512GB,Windows11
31,1599.0,MSI,,Core i5,,8GB,512GB,Windows11
32,2099.0,Acer,14,Core i3,,8GB,512GB,Windows11
33,3299.0,ASUS,16,Core i9,-13900H,16GB,512GB,Windows11
34,1143.0,Lenovo,,Core i3,-1215U,4GB,512GB,
35,1849.0,ASUS,15.6,Core i5,-1335U,8GB,512GB,
36,2449.0,DELL,15.6,Core i7,-1255U,8GB,512GB,
37,2599.0,HP,,Core i5,,16GB,512GB,Windows11
38,2799.0,HUAWEI,14,Core i7,-1360P,16GB,1TB,Windows11
39,1849.0,DELL,,Core i5,-1235U,8GB,512GB,
40,1999.0,Acer,14,,-5700U,16GB,512GB,Windows11
41,2149.0,ASUS,15.6,,,8GB,256GB,Windows11
42,3149.0,MSI,15.6,Core i7,-13620H,16GB,1TB,Windows11
43,2049.0,ASUS,15.6,Core i7,-1255U,8GB,512GB,Windows11
44,1349.0,DELL,,Core i3,-1215U,8GB,512GB,
45,2626.0,HP,,Core i7,-1355U,16GB,512GB,
46,3699.0,HUAWEI,,Core i9,-13900H,16GB,1TB,Windows11
47,5479.0,Apple,13,,,512GB,512GB,Mac ops
48,3949.0,ASUS,,Core i7,-12700H,16GB,512GB,Windows11
49,3799.0,HP,,Core i7,-13700H,16GB,1TB,Windows11
50,2199.0,HP,,Core i3,-1315U,8GB,256GB,Windows11
51,5499.0,ASUS,17.3,,-6800H,16GB,1TB,Windows11
52,3400.0,ASUS,15.6,Core i7,-11800H,16GB,1TB,
53,999.0,ASUS,,,,4GB,512GB,
54,2749.0,ASUS,,Core i7,-1255U,16GB,512GB,Windows11
55,849.0,Lenovo,14,,,4GB,128GB,Windows11
56,2899.0,ASUS,15.6,Core i5,-12500H,8GB,512GB,
57,1299.0,Acer,15.6,Core i5,-1035G,4GB,,
58,1889.0,DELL,,Core i5,-1235U,8GB,512GB,
59,1638.0,Lenovo,,Core i5,-1235U,8GB,256GB,
60,2490.0,Microsoft,12,Core i5,,8GB,128GB,Windows11
61,1299.0,DELL,,Core i3,-1115G,4GB,256GB,Windows11
62,1749.0,ASUS,15.6,Core i5,-1135G,8GB,512GB,
63,2200.0,Lenovo,16,Core i5,-12450H,16GB,512GB,Windows11
64,3749.0,DELL,,Core i7,-1335U,16GB,512GB,Windows11
65,1070.0,Acer,,Core i3,,4GB,256GB,
66,2599.0,Lenovo,15.6,,-12450H,16GB,512GB,Windows11
67,1399.0,DELL,15.6,Core i3,-1215U,8GB,512GB,
68,1699.0,Lenovo,,Core i5,-12500H,8GB,512GB,
69,2999.0,Acer,,Core i5,-1235U,8GB,512GB,
70,845.0,ASUS,15.6,,,4GB,512GB,
71,5799.0,HP,16.1,Core i7,-13700H,32GB,1TB,Windows11
72,4899.0,Apple,,,,8GB,256GB,Mac ops
73,4049.0,MSI,15.6,Core i7,-13620H,16GB,512GB,Windows11
74,1999.0,Lenovo,,,-1305U,8GB,256GB,Windows11
75,4399.0,HP,,Core i7,-1355U,16GB,1TB,Windows11
76,3399.0,MSI,,Core i7,-1280P,16GB,1TB,Windows11
77,3999.0,Lenovo,,Core i7,-13650H,16GB,512GB,
78,3699.0,MSI,15.6,Core i7,-12650H,16GB,512GB,Windows11
79,2799.0,DELL,,Core i5,-1335U,8GB,512GB,Windows11
80,4499.0,HP,,,-7840H,16GB,1TB,Windows11
81,1799.0,Acer,15.6,Core i5,-1235U,8GB,512GB,Windows11
82,2899.0,HP,,Core i3,-1315U,8GB,256GB,Windows11
83,3699.0,Acer,14,Core i7,-1355U,16GB,1TB,
84,1599.0,HP,,Core i3,-1315U,8GB,256GB,Windows11
85,2099.0,HP,,Core i5,-1334U,8GB,512GB,Windows11
86,1979.0,HP,15.6,Core i5,,8GB,512GB,
87,4399.0,Microsoft,13,,-1235U,8GB,,Windows11
88,1799.0,MSI,15.6,Core i5,-1235U,8GB,512GB,Windows11
89,3640.0,Acer,15.6,Core i7,-12650H,16GB,512GB,
90,949.0,Lenovo,,,,4GB,,
91,3499.0,HP,,,-7730U,16GB,512GB,Windows11
92,2299.0,DELL,15.6,Core i5,-1235U,8GB,512GB,Windows11
93,1440.0,DELL,,Core i3,-1215U,8GB,,
94,4650.0,DELL,15.6,Core i7,-12700H,16GB,,
95,2647.0,HP,,Core i7,-1355U,16GB,512GB,
96,2399.0,HUAWEI,,Core i5,-12450H,16GB,512GB,Windows11
97,1899.0,ASUS,16,Core i5,-1335U,8GB,512GB,Windows11
98,1619.0,ASUS,15.6,Core i5,-1235U,8GB,512GB,
99,1399.0,Acer,15.6,Core i5,-1135G,8GB,256GB,
100,4999.0,Apple,,,,8GB,256GB,Mac ops
101,4699.0,HP,,Core i7,-1355U,16GB,1TB,Windows11
102,4049.0,ASUS,,,-6800H,16GB,512GB,Windows11
103,3309.0,ASUS,,Core i7,-12700H,16GB,1TB,Windows11
104,1979.0,Acer,15.6,Core i7,-1255U,8GB,512GB,
105,3099.0,MSI,,Core i7,,16GB,512GB,Windows11
106,5029.0,Apple,15,,,256GB,256GB,Mac ops
107,3949.0,Microsoft,13,,-1235U,8GB,,Windows11
108,1139.0,Acer,15.6,Core i3,-1115G,4GB,256GB,
109,3065.0,ASUS,14,Core i7,-12700H,16GB,512GB,Windows11
110,3199.0,ASUS,23.8,Core i7,-1255U,16GB,512GB,Windows11
111,2290.0,Lenovo,15.6,Core i7,,8GB,128GB,
112,1889.0,DELL,,Core i5,-1235U,8GB,512GB,
113,1638.0,Lenovo,,Core i5,-1235U,8GB,256GB,
114,2490.0,Microsoft,12,Core i5,,8GB,128GB,Windows11
115,4799.0,HP,,Core i7,-1355U,16GB,1TB,Windows11
116,2624.0,HP,15.6,Core i7,,16GB,512GB,
117,5199.0,Apple,13,,,256GB,,Mac ops
118,1208.0,HP,,Core i3,-1315U,4GB,256GB,
119,2411.0,ASUS,15.6,Core i7,-1255U,16GB,512GB,
120,6799.0,Apple,,,,16GB,512GB,Mac ops
121,2975.0,ASUS,16,Core i9,-13900H,16GB,512GB,
122,3599.0,MSI,15.6,Core i9,-13900H,16GB,1TB,Windows11
123,1638.0,Lenovo,,Core i5,-1235U,8GB,256GB,
124,4999.0,HUAWEI,14,Core i7,-1360P,16GB,1TB,Windows11
125,6849.0,Microsoft,13,Core i7,-1255U,16GB,,Windows11
126,3880.0,ASUS,14,Core i9,-13900H,16GB,1TB,Windows11
127,5520.0,Apple,15,,,256GB,256GB,Mac ops
128,2325.0,Lenovo,,Core i7,-1255U,16GB,512GB,
129,2200.0,HUAWEI,16,Core i5,-12450H,8GB,512GB,Windows11
130,1829.0,HP,,,-5825U,8GB,256GB,
131,5199.0,Apple,13,,,256GB,,Mac ops
132,3399.0,MSI,,Core i7,-1280P,16GB,1TB,Windows11
133,3999.0,Lenovo,,Core i7,-13650H,16GB,512GB,
134,3699.0,MSI,15.6,Core i7,-12650H,16GB,512GB,Windows11
135,6799.0,Apple,,,,8GB,512GB,Mac ops
136,1129.0,Lenovo,,Core i3,-1215U,4GB,256GB,
137,1199.0,MSI,14,Core i3,-1215U,8GB,256GB,
138,7884.0,HP,,Core i7,,32GB,2TB,Windows11
139,2401.0,ASUS,16,,,16GB,512GB,
140,5899.0,Apple,,,,8GB,512GB,Mac ops
141,1169.0,ASUS,,Core i3,,8GB,,
142,5099.0,Apple,13,,,512GB,,Mac ops
143,2490.0,Microsoft,12,Core i5,,8GB,128GB,Windows11
144,11199.0,Apple,,,,18GB,1TB,Mac ops
145,844.0,ASUS,,,,4GB,512GB,
146,4499.0,Apple,13,,,256GB,,Mac ops
147,10699.0,Apple,,,,18GB,512GB,Mac ops
148,2899.0,DELL,15.6,Core i7,-1255U,8GB,512GB,Windows11
149,2499.0,Microsoft,12.4,Core i5,-1135G,8GB,256GB,Windows11
150,1949.0,HP,,Core i5,-1135G,8GB,256GB,
151,3999.0,HUAWEI,12.6,Core i7,-1260P,16GB,512GB,Windows11
152,4650.0,DELL,15.6,Core i7,-12700H,16GB,,
153,2647.0,HP,,Core i7,-1355U,16GB,512GB,
154,2399.0,HUAWEI,,Core i5,-12450H,16GB,512GB,Windows11
155,4999.0,Microsoft,13,,-1235U,8GB,,Windows11
156,2890.0,HP,,Core i5,-1335U,8GB,,Windows11
157,6299.0,Acer,,Core i9,-13900H,16GB,,Windows11
158,4499.0,MSI,15.6,,-12650H,16GB,1TB,Windows11
159,2999.0,MSI,,Core i7,-13620H,16GB,1TB,Windows11
160,7599.0,Apple,,,,8GB,1TB,Mac ops
161,1199.0,Lenovo,,Core i3,-1215U,4GB,256GB,
162,1699.0,Lenovo,15.6,,,8GB,512GB,
163,1745.0,ASUS,15.6,Core i5,-1235U,8GB,512GB,
164,4954.0,DELL,15.6,Core i7,-12700H,16GB,,
165,1699.0,ASUS,16,Core i5,-1235U,8GB,512GB,
166,3899.0,Lenovo,14,Core i7,,16GB,512GB,Windows11
167,2299.0,DELL,15.6,Core i5,,8GB,,
168,4599.0,Acer,15.6,Core i7,-13620H,16GB,1TB,
169,849.0,ASUS,,,,4GB,256GB,
170,3299.0,Lenovo,,Core i5,-1335U,8GB,512GB,Windows11
171,799.0,Lenovo,,,,4GB,256GB,
172,1699.0,Lenovo,15.6,,,8GB,512GB,
173,2199.0,Lenovo,,Core i7,-1255U,8GB,512GB,
174,3799.0,DELL,,Core i7,-1165G,8GB,512GB,
175,1899.0,ASUS,16,,-5625U,8GB,512GB,
