Laptop_name,price
"HUAWEI MateBook D 15 Laptop With 15.6-Inch Full HD Display, Core i5-1155G7 Processor/8GB RAM/256GB SSD/Windows 11 Home/ English/Arabic Mystic Silver ","1,799"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i5-12450H Processor/16GB RAM/512GB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","2,299"
"HUAWEI MateBook 14 Laptop With 14-Inch Display, Core i5-1240P Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home English/Arabic Space Gray ","2,599"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i5-13420H Processor/16GB RAM/1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","2,599"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i9-13900H Processor/16GB RAM /1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","3,699"
"HUAWEI MateBook E Laptop With 12.6-Inch Display, Core i7-1260P Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home English/Arabic Nebula Grey ","3,999"
"InnJoo N2 Laptop With 14.1-Inch Display, 11th Gen Intel Dual Core Celeron N3350 Processor / 4GB RAM / 256GB SSD / Win 10 Black ",599
"HUAWEI MateBook D 15 Laptop With 15.6-Inch Full HD Display, Core i5-1155G7 Processor/8GB RAM/256GB SSD/Windows 11 Home/ English/Arabic Mystic Silver ","1,799"
"Apple MacBook Air MGN63 13-Inch Display, M1 Chip With 8-Core Processor And 7-Core Graphics/8GB RAM/256GB SSD/English Arabic Keyboard Space Grey ","2,999"
"ASUS Vivobook GO E1504GA-NJ340 Laptop With 15.6-Inch Full HD Display, Core i3-N305 Processor/8GB RAM/512GB SSD/Intel UHD Graphics/DOS(Without Windows) English/Arabic Silver ","1,119"
"Lenovo IdeaPad 1 15IGL7 Laptop With 15.6-inch HD Display, Celeron N4020 Processor/4GB RAM/256GB SSD/DOS(Without Windows)/Intel UHD Graphics With Laptop Casual Toploader T210 English/Arabic Cloud Grey ",799
"MSI Thin GF63 Gaming Laptop With 15.6-Inch FHD Display, Core i5-12450H Processor/8GB RAM/512GB SSD/4GB Nvidia GeForce RTX 2050 Graphics Card/Windows 11 Home English/Arabic Black ","2,169"
"HP 15-fd0000nx Laptop With 15.6-inch Display, Core i7-1355U Processor/16GB RAM/512GB SSD/Windows 11/Intel Iris Xe Graphics English/Arabic Natural Silver ","2,699"
"Lenovo LOQ 3 15IRH8 Gaming Laptop With 15.6-Inch Full HD IPS Display, Core i5-13420H Processor/16GB RAM/512GB SSD/Windows 11/4GB GeForce RTX 2050/ Storm Grey ","2,699"
"HP 255 G9 Laptop With 15.6-inch Full HD (1920x1080) Display Display, Ryzen 5-5625U Processor/8GB RAM/256GB SSD/DOS(Without Windows)/AMD Radeon Graphics/ English/Arabic Asteroid Silver ","1,464"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i5-12450H Processor/8GB RAM/512GB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","2,099"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i7-13700H Processor/16GB RAM /1TB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","3,199"
"HUAWEI MateBook D 16 Laptop with 16-inch Eye Comfort FullView Display, Core i5-12450H Processor/16GB RAM/512GB SSD/Windows 11 Home/Intel Iris XE Graphics With Light and Metal Body And Nimble Numeric Keypad English/Arabic Mystic Silver ","2,299"
"Acer Nitro 5 Laptop With 17.3-inch Display, Core i7-12700H Processor/16GB RAM/512GB SSD/DOS(Without Windows)/6GB Nvidia GeForce RTX 3060/ English/Arabic Obsidian Black ","4,299"
"Acer Aspire A3 A315-58 Laptop With 15.6-Inch FHD Display, Core i5-1135G7 Processor/8GB RAM/256GB SSD/Intel Iris Xe Graphics/DOS(Without Windows)/ English/Arabic Pure Silver ","1,470"
"ASUS VivoBook GO Laptop With 15.6-Inch Display, Celeron N4020 Processor/4GB RAM/128GB SSD/Winodws 11/Intel UHD Graphics/Office 365 English/Arabic White ",909
"HUAWEI Matebook D14 Laptop 14 Inch FHD Display, Intel Core i7-1360P Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 English/Arabic Mystic Silver ","2,799"
"HP VICTUS Laptop With 15.6-inch Display, Core i7-13700H Processor/16GB RAM/1TB SSD/Windows 11/6GB Nvidia GeForce RTX 4050 English/Arabic Mica Silver ","3,999"
"HP 250 G10 Laptop With 15.6-inch Full HD Display, Core i3-1315U Processor/4GB RAM/256GB SSD/DOS(Without Windows)/Intel UHD Graphics/ English/Arabic Silver ","1,193"
"HP Pavilion x360 Touch Laptop With 14-inch Display, Core i5-1335U Processor/8GB RAM/512GB SSD/Windows 11 Home/Intel Iris Xe Graphics English/Arabic Natural Silver ","2,449"
"Lenovo IdeaPad Gaming 3 Laptop With 15.6-Inch FHD Display, AMD Ryzen 5-5500H Processor/16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050 Graphics Card/DOS(Without Windows) English/Arabic Black ","2,199"
"Apple MacBook Air MLY33 13-Inch Display : Apple M2 chip with 8-core CPU and 8-core GPU, 256GB- English Arabic Keyboard Midnight ","3,999"
"MSI Modern Laptop With 14-inch Full HD (1920x1080) Display, Intel Core i5 1235U Processor/8GB RAM/512GB SSD/Windows 11 Home/Intel Iris Xe Graphics/ English/Arabic Black ","1,549"
"HUAWEI MateBook 14 Laptop With 14-Inch Display, Core i5-1240P Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home English/Arabic Space Gray ","2,599"
